"ref","PDF_id","article_type","authors","article_title","source_title","pub_year","doi","lead_author_institution_type","lead_author_affiliation","study_country","study_region","koaro","inanga","giant_kokopu","shortjaw_kokopu","banded_kokopu","spotted_galaxias","spatial_extent","spatial_extent_km","temporal","period_yrs","preiod_frq","survey","model","experiment","ex_field","ex_lab","review","review_method","method_other","diet","predation","competition","metabolism","disease","parasites","behaviour","movement","migration","morphology","evolution","spawning","riparain","growth","genetics","eggs","larvae","juveniles","adults","demographics","sex_ratio","fecundity","mortality","age_size_structure","abundance_density","physiochemical_habitat","landuse","aquaculture","harvesting","method_development","conservation","restoration","invasive.species","climate_change","stream","lake","ocean","landlocked"
1,1,"J","HICKS A. JARVIS M. EASTON RR. WATERS JM. DAVID B. NORMAN MD. CLOSS GP.","Life History Plasticity Affects the Population Structure and Distribution of the Widespread Migratory Fish Galaxias Brevipinnis","Marine and Freshwater Research",2020,"10.1071/MF20099","tertiary","UoO","NZ","West Coast","y","n","n","n","n","n","regional","140","n","na","na","y","n","n","y","n","n","na","otolith microchemistry","n","n","n","n","n","n","n","y","y","n","n","n","n","n","n","n","n","y","y","y","n","n","n","y","y","y","n","n","n","n","n","n","n","n","y","n","n","n"
2,7,"J","CUSSAC V. BARRANTES ME. BOY CC. GORSKI K. HABIT E. LATTUCA ME. ROJO JH.","New Insights into the Distribution, Physiology and Life Histories of South American Galaxiid Fishes, and Potential Threats to this Unique Fauna","Diversity",2020,"10.3390/d12050178","tertiary","Universidad Nacional del Comahue","Chile, Argentina","na","n","y","n","n","n","n","international","1750","n","na","na","n","n","n","n","n","y","narrative","na","y","y","n","n","n","n","n","n","y","y","y","n","n","y","y","n","y","y","y","n","n","n","n","n","n","n","n","n","n","n","n","n","y","y","y","y","n","y"
3,9,"J","DUNN NR. O'BRIEN LK. BURRIDGE CP. CLOSS GP.","Morphological Convergence and Divergence in Galaxias Fishes in Lentic and Lotic Habitats","Diversity",2020,"10.3390/d12050183","tertiary","UoO","NZ","Southland, Canterbury","y","n","n","n","n","n","regional","366","n","na","na","y","n","n","y","n","n","na","genetics","n","n","n","n","n","n","n","n","n","y","y","n","n","n","y","n","n","n","y","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","y","y","n","y"
4,11,"J","MERCER M. SEARLE PC. CIFUENTES R. HABIT E. BELK MC.","Morphometric Response Of galaxias Maculatus(Jenyns) to Lake Colonization in Chile","Diversity",2020,"10.3390/d12060219","tertiary","Brigham Young University","Chile","Los Lagos, Los RÌos,  La AraucanÌa","n","y","n","n","n","n","regional","450","n","na","na","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","y","n","y"
5,12,"J","ROJO JH. FERNANDEZ DA. FIGUEROA DE. BOY CC.","Phenotypic and Genetic Differentiation Between Diadromous and Landlocked Puyen Galaxias Maculatus","Journal of Fish Biology",2020,"10.1111/jfb.14285","govt","Centro Austral de Investigaciones CientÌficas","Argentina","Patagonia","n","y","n","n","n","n","basin","1","n","na","na","y","n","n","n","n","n","na","DNA","n","n","n","n","n","n","n","n","n","y","y","n","n","n","y","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","y","n","n"
6,13,"J","ROJO JH. RODRIGUEZ P. BOY CC.","Morphological Differentiation in the Widespread Fish Galaxias Maculatus: Do Darker Environments Imply Bigger Eyes?","Hydrobiologia",2020,"10.1007/s10750-020-04278-y","govt","Centro Austral de Investigaciones CientÌficas","Argentina","Patagonia","n","y","n","n","n","n","regional","1.5","n","0.083333333","na","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","y","y","n","y"
7,14,"J","VERA-ESCALONA I. DELGADO ML. HABIT E. RUZZANTE DE.","Historical and Contemporary Diversity of Galaxiids in South America: Biogeographic and Phylogenetic Perspectives","Diversity",2020,"10.3390/d12080304","tertiary","Universidad CatÛlica de la SantÌsima ConcepciÛn","Chile, Argentina","na","n","y","n","n","n","n","international","na","n","na","na","n","n","n","n","n","y","narrative","na","n","n","n","n","n","n","n","n","y","n","y","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","na","na","na","na"
8,15,"J","VICTORIANO PF. MUNOZ-RAMIREZ CP. CANALES-AGUIRRE CB. JARA A. VERA-ESCALONA I. BURGOS-CAREAGA T. MUNOZ-MENDOZA C. HABIT E.","Contrasting Evolutionary Responses in Two Co-Distributed Species of Galaxias (Pisces, Galaxiidae) in a River from the Glaciated Range in Southern Chile","Royal Society Open Science",2020,"10.1098/rsos.200632","tertiary","Universidad de ConcepciÛn","Chile","Los RÌos","n","y","n","n","n","n","basin","120","n","na","na","y","n","n","n","n","n","na","DNA","n","n","n","n","n","n","n","n","n","n","y","n","n","n","y","n","na","na","na","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","y","n","n"
9,16,"J","VIDAL N. TROCHINE C. AMSINCK SL. BARMUTA LA. CHRISTOFFERSEN KS. VENTURA M. BUCHACA T. LANDKILDEHUS F. HARDIE SA. MEERHOFF M. JEPPESEN E.","Interaction Between Non-Native Predatory Fishes and Native Galaxiids (Pisces: Galaxiidae) Shapes Food Web Structure in Tasmanian Lakes","Inland Waters",2020,"10.1080/20442041.2020.1724047","tertiary","Aarhus University","Australia","Tasmania","y","y","n","n","n","n","regional","185","n","na","na","y","n","n","n","n","n","na","SIA","y","y","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","na","na","y","n","n","n","n","y","n","n","n","n","n","n","n","y","","n","y","n","n"
10,17,"J","YUNGNICKEL MR. HICKFORD MJ. SCHIEL DR.","Spatio-Temporal Variation in Species Composition of New Zealand's Whitebait Fishery","New Zealand Journal of Marine and Freshwater Research",2020,"10.1080/00288330.2020.1745854","tertiary","UoC","NZ","Southland, Otago, Canterbury, West Coast, Nelson-Tasman, Marlborough, Wellington, Manawatu-Whanganui, Taranaki, Hawke's Bay, BoP, Waikato, Auckland","y","y","y","y","y","n","regional","1200","y","0.5","na","y","n","n","y","n","n","na","na","n","n","n","n","n","n","n","n","y","n","n","n","n","n","y","n","n","y","n","y","n","n","n","n","y","n","y","n","n","n","y","y","y","y","y","n","n","n"
