"ID","name","value"
147,"a_2","ABERLE J"
235,"a_3","ADAMS M"
238,"a_7","ADAMS M"
294,"a_3","ADAMS M"
240,"a_3","ADOKOH CK"
61,"a_2","AIGO JC"
26,"a_1","AKBARIPASAND A"
47,"a_1","AKBARIPASAND A"
49,"a_1","AKBARIPASAND A"
86,"a_1","AKBARIPASAND A"
12,"a_1","ALAMA-BERMEJO G"
238,"a_4","ALLEN MG"
148,"a_1","ALLIBONE R"
153,"a_1","ALLIBONE R"
154,"a_2","ALLIBONE RM"
178,"a_1","ALLIBONE RM"
181,"a_2","ALLIBONE RM"
208,"a_2","ALLIBONE RM"
252,"a_1","ALLIBONE RM"
17,"a_1","ALO D"
186,"a_3","ALONSO MF"
237,"a_3","AMSINCK SL"
231,"a_1","AMTSTAETTER F"
270,"a_1","ANDREWS AP"
290,"a_1","ANDREWS AP"
163,"a_3","ARBUCKLE CJ"
43,"a_2","ARISMENDI I"
41,"a_5","ASTORGA JI"
269,"a_1","ATKINS L"
12,"a_5","ATKINSON SD"
29,"a_2","AUGSPURGER J"
14,"a_1","AUGSPURGER JM"
31,"a_1","AUGSPURGER JM"
284,"a_1","AULT TR"
194,"a_2","BACCALA N"
35,"a_8","BAIGUN C"
60,"a_1","BAILLIE BR"
137,"a_3","BAIZ M"
108,"a_3","BAKER C"
42,"a_3","BAKER CF"
46,"a_1","BAKER CF"
54,"a_1","BAKER CF"
119,"a_1","BAKER CF"
125,"a_1","BAKER CF"
128,"a_1","BAKER CF"
131,"a_1","BAKER CF"
156,"a_1","BAKER CF"
159,"a_1","BAKER CF"
164,"a_1","BAKER CF"
175,"a_1","BAKER CF"
177,"a_1","BAKER CF"
211,"a_2","BALSEIRO EG"
89,"a_1","BARBEE NC"
95,"a_2","BARBEE NC"
100,"a_2","BARBEE NC"
113,"a_2","BARBEE NC"
121,"a_1","BARBEE NC"
219,"a_1","BARKER JR"
237,"a_4","BARMUTA LA"
6,"a_2","BARRANTES ME"
200,"a_4","BARRIER RFG"
35,"a_7","BARRIGA JP"
68,"a_2","BARRIGA JP"
80,"a_1","BARRIGA JP"
115,"a_1","BARRIGA JP"
145,"a_6","BARRIGA JP"
167,"a_1","BARRIGA JP"
73,"a_2","BARTELS B"
42,"a_4","BARTELS K"
145,"a_7","BATTINI M"
183,"a_1","BATTINI M"
35,"a_4","BATTINI MA"
80,"a_2","BATTINI MA"
115,"a_2","BATTINI MA"
167,"a_2","BATTINI MA"
210,"a_2","BATTINI MA"
212,"a_3","BATTINI MA"
122,"a_2","BEATTY SJ"
129,"a_3","BEATTY SJ"
233,"a_4","BEATTY SJ"
238,"a_2","BEATTY SJ"
28,"a_3","BEAUCHAMP DA"
22,"a_1","BECKER LA"
4,"a_5","BELK MC"
92,"a_5","BELK MC"
282,"a_1","BENZIE V"
283,"a_1","BENZIE V"
205,"a_1","BERRA TM"
36,"a_6","BERTRAN L"
265,"a_3","BICK YAE"
147,"a_3","BIGGS BJF"
77,"a_1","BLAIR JM"
142,"a_1","BONNETT ML"
168,"a_1","BONNETT ML"
170,"a_1","BONNETT ML"
171,"a_4","BOOTHROYD I"
93,"a_2","BORQUEZ A"
117,"a_2","BORQUEZ AS"
215,"a_1","BOUBEE JA"
131,"a_2","BOUBEE JAT"
200,"a_1","BOUBEE JAT"
6,"a_3","BOY CC"
9,"a_4","BOY CC"
21,"a_3","BOY CC"
30,"a_1","BOY CC"
59,"a_1","BOY CC"
97,"a_1","BOY CC"
104,"a_1","BOY CC"
109,"a_1","BOY CC"
132,"a_4","BRODERSEN J"
291,"a_3","BROTHERS EB"
71,"a_8","BROWN S"
10,"a_3","BRUGNI N"
112,"a_4","BRUGNI N"
143,"a_2","BRUGNI N"
237,"a_7","BUCHACA T"
3,"a_6","BURGOS-CAREAGA C"
7,"a_3","BURRIDGE CP"
76,"a_1","BURRIDGE CP"
193,"a_2","BURRIDGE CP"
16,"a_3","BURY SJ"
94,"a_2","CAGNON M"
97,"a_4","CALVO E"
104,"a_4","CALVO ER"
109,"a_3","CALVO J"
3,"a_3","CANALES-AGUIRRE CB"
66,"a_1","CARREA C"
68,"a_1","CARREA C"
80,"a_4","CARREA C"
128,"a_2","CARTON AG"
112,"a_3","CARVAJAL J"
153,"a_2","CASKEY D"
178,"a_2","CASKEY D"
18,"a_1","CATLIN AK"
59,"a_4","CEBALLOS DR"
210,"a_1","CERVELLINI PM"
211,"a_3","CERVELLINI PM"
212,"a_2","CERVELLINI PM"
181,"a_1","CHADDERTON WL"
101,"a_1","CHAPMAN A"
123,"a_1","CHAPMAN A"
129,"a_1","CHAPMAN A"
130,"a_2","CHARTERIS SC"
154,"a_1","CHARTERIS SC"
162,"a_1","CHARTERIS SC"
227,"a_1","CHESSMAN BC"
292,"a_1","CHESSMAN BC"
192,"a_2","CHISNALL BL"
166,"a_3","CHRISTIE KD"
237,"a_5","CHRISTOFFERSEN KS"
35,"a_3","CIANCIO J"
4,"a_3","CIFUENTES R"
5,"a_3","CLEMENTINA BOY C"
233,"a_1","CLOSE PG"
238,"a_3","CLOSE PG"
1,"a_7","CLOSS GP"
7,"a_4","CLOSS GP"
14,"a_2","CLOSS GP"
26,"a_2","CLOSS GP"
29,"a_3","CLOSS GP"
31,"a_3","CLOSS GP"
32,"a_6","CLOSS GP"
37,"a_2","CLOSS GP"
47,"a_4","CLOSS GP"
49,"a_4","CLOSS GP"
63,"a_3","CLOSS GP"
65,"a_1","CLOSS GP"
69,"a_2","CLOSS GP"
72,"a_2","CLOSS GP"
86,"a_4","CLOSS GP"
91,"a_2","CLOSS GP"
110,"a_2","CLOSS GP"
118,"a_2","CLOSS GP"
139,"a_2","CLOSS GP"
144,"a_3","CLOSS GP"
149,"a_2","CLOSS GP"
160,"a_3","CLOSS GP"
163,"a_2","CLOSS GP"
165,"a_2","CLOSS GP"
174,"a_3","CLOSS GP"
92,"a_8","COLIN N"
15,"a_4","COLLIER KJ"
18,"a_2","COLLIER KJ"
99,"a_3","COLLIER KJ"
293,"a_1","COLMAN JG"
74,"a_5","CONSUEGRA S"
96,"a_3","CONSUEGRA S"
239,"a_2","COOPER D"
114,"a_5","COOPER GG"
17,"a_2","CORREA C"
76,"a_3","CRAW MVH"
35,"a_9","CRICHIGNO S"
22,"a_2","CRICHIGNO SA"
207,"a_1","CROOK DA"
69,"a_3","CROW AS"
110,"a_3","CROW SK"
205,"a_2","CROWLEY LELM"
145,"a_1","CUSSAC V"
6,"a_1","CUSSAC VE"
22,"a_3","CUSSAC VE"
35,"a_1","CUSSAC VE"
66,"a_2","CUSSAC VE"
68,"a_3","CUSSAC VE"
80,"a_6","CUSSAC VE"
92,"a_6","CUSSAC VE"
115,"a_3","CUSSAC VE"
167,"a_5","CUSSAC VE"
186,"a_2","CUSSAC VE"
210,"a_3","CUSSAC VE"
212,"a_1","CUSSAC VE"
37,"a_3","DAMSTEEGT PM"
117,"a_1","DANTAGNAN H"
93,"a_1","DANTAGNAN P"
1,"a_5","DAVID BO"
15,"a_1","DAVID BO"
32,"a_3","DAVID BO"
55,"a_1","DAVID BO"
79,"a_1","DAVID BO"
99,"a_1","DAVID BO"
110,"a_1","DAVID BO"
144,"a_2","DAVID BO"
149,"a_1","DAVID BO"
157,"a_1","DAVID BO"
160,"a_2","DAVID BO"
163,"a_1","DAVID BO"
165,"a_1","DAVID BO"
190,"a_1","DAVID BO"
111,"a_2","DAVIES PE"
220,"a_1","DAVIES PE"
261,"a_1","DAVIES PE"
