"","scientificName","decimalLatitude","decimalLongitude","occurrenceStatus","basisOfRecord","lifeStage","stateProvince","year","geodeticDatum","country"
"1","Galaxias maculatus (Jenyns, 1842)",-40.945074,173.159307,"PRESENT","HUMAN_OBSERVATION","Juvenile","Nelson",2021,"WGS84","New Zealand"
"2","Galaxias maculatus (Jenyns, 1842)",-38.488685,144.91799,"PRESENT","HUMAN_OBSERVATION",NA,"Victoria",2021,"WGS84","Australia"
"3","Galaxias maculatus (Jenyns, 1842)",-40.856873,172.900888,"PRESENT","HUMAN_OBSERVATION",NA,"Nelson",2021,"WGS84","New Zealand"
"4","Galaxias maculatus (Jenyns, 1842)",-40.813742,172.839953,"PRESENT","HUMAN_OBSERVATION",NA,"Nelson",2021,"WGS84","New Zealand"
"5","Galaxias maculatus (Jenyns, 1842)",-40.962862,172.907522,"PRESENT","HUMAN_OBSERVATION",NA,"Nelson",2021,"WGS84","New Zealand"
"6","Galaxias maculatus (Jenyns, 1842)",-40.491078,175.760098,"PRESENT","HUMAN_OBSERVATION",NA,"Manawatu-Wanganui",2021,"WGS84","New Zealand"
"7","Galaxias maculatus (Jenyns, 1842)",-35.799682,150.068737,"PRESENT","HUMAN_OBSERVATION",NA,"New South Wales",2021,"WGS84","Australia"
"8","Galaxias maculatus (Jenyns, 1842)",-41.32833,174.84432,"PRESENT","HUMAN_OBSERVATION","Adult","Wellington",2021,"WGS84","New Zealand"
"9","Galaxias maculatus (Jenyns, 1842)",-45.726757,170.696878,"PRESENT","HUMAN_OBSERVATION",NA,"Otago",2021,"WGS84","New Zealand"
"10","Galaxias maculatus (Jenyns, 1842)",-37.727815,144.967158,"PRESENT","HUMAN_OBSERVATION",NA,"Victoria",2021,"WGS84","Australia"
"11","Galaxias maculatus (Jenyns, 1842)",-43.120457,-73.951251,"PRESENT","HUMAN_OBSERVATION",NA,"Los Lagos",2021,"WGS84","Chile"
"12","Galaxias maculatus (Jenyns, 1842)",-40.900393,174.826449,"PRESENT","HUMAN_OBSERVATION","Adult","Wellington",2021,"WGS84","New Zealand"
"13","Galaxias maculatus (Jenyns, 1842)",-43.406674,172.724325,"PRESENT","HUMAN_OBSERVATION","Adult","Canterbury",2021,"WGS84","New Zealand"
"14","Galaxias maculatus (Jenyns, 1842)",-36.823684,174.709194,"PRESENT","HUMAN_OBSERVATION",NA,"Auckland",2021,"WGS84","New Zealand"
"15","Galaxias maculatus (Jenyns, 1842)",-36.752494,175.472156,"PRESENT","HUMAN_OBSERVATION","Adult","Waikato",2021,"WGS84","New Zealand"
"16","Galaxias maculatus (Jenyns, 1842)",-36.889627,174.739864,"PRESENT","HUMAN_OBSERVATION",NA,"Auckland",2021,"WGS84","New Zealand"
"17","Galaxias maculatus (Jenyns, 1842)",-36.183796,174.407282,"PRESENT","HUMAN_OBSERVATION","Adult","Northland",2020,"WGS84","New Zealand"
"18","Galaxias maculatus (Jenyns, 1842)",-36.150625,174.551918,"PRESENT","HUMAN_OBSERVATION","Juvenile","Northland",2020,"WGS84","New Zealand"
"19","Galaxias maculatus (Jenyns, 1842)",-35.69275,139.16342,"PRESENT","HUMAN_OBSERVATION",NA,"South Australia",2020,"WGS84","Australia"
"20","Galaxias maculatus (Jenyns, 1842)",-35.53641,138.85377,"PRESENT","HUMAN_OBSERVATION",NA,"South Australia",2020,"WGS84","Australia"
"21","Galaxias maculatus (Jenyns, 1842)",-35.59793,139.02486,"PRESENT","HUMAN_OBSERVATION",NA,"South Australia",2020,"WGS84","Australia"
"22","Galaxias maculatus (Jenyns, 1842)",-34.925743,138.522035,"PRESENT","HUMAN_OBSERVATION",NA,"South Australia",2020,"WGS84","Australia"
"23","Galaxias maculatus (Jenyns, 1842)",-43.879534,172.762245,"PRESENT","HUMAN_OBSERVATION","Adult","Canterbury",2020,"WGS84","New Zealand"
"24","Galaxias maculatus (Jenyns, 1842)",-46.309812,168.377767,"PRESENT","HUMAN_OBSERVATION",NA,"Southland",2020,"WGS84","New Zealand"
"25","Galaxias maculatus (Jenyns, 1842)",-40.960755,174.986774,"PRESENT","HUMAN_OBSERVATION",NA,"Wellington",2020,"WGS84","New Zealand"
"26","Galaxias maculatus (Jenyns, 1842)",-40.828291,174.825533,"PRESENT","HUMAN_OBSERVATION",NA,"Wellington",2020,"WGS84","New Zealand"
"27","Galaxias maculatus (Jenyns, 1842)",-40.960299,174.992063,"PRESENT","HUMAN_OBSERVATION","Adult","Wellington",2020,"WGS84","New Zealand"
"28","Galaxias maculatus (Jenyns, 1842)",-43.589056,172.4344,"PRESENT","HUMAN_OBSERVATION","Adult","Canterbury",2020,"WGS84","New Zealand"
"29","Galaxias maculatus (Jenyns, 1842)",-42.043203,-74.009589,"PRESENT","HUMAN_OBSERVATION",NA,"Los Lagos",2020,"WGS84","Chile"
"30","Galaxias maculatus (Jenyns, 1842)",-38.534013,143.976743,"PRESENT","HUMAN_OBSERVATION","Juvenile","Victoria",2020,"WGS84","Australia"
"31","Galaxias maculatus (Jenyns, 1842)",-38.534298,143.975947,"PRESENT","HUMAN_OBSERVATION","Adult","Victoria",2020,"WGS84","Australia"
"32","Galaxias maculatus (Jenyns, 1842)",-35.39823,138.82827,"PRESENT","HUMAN_OBSERVATION",NA,"South Australia",2020,"WGS84","Australia"
"33","Galaxias maculatus (Jenyns, 1842)",-35.38972,138.81423,"PRESENT","HUMAN_OBSERVATION",NA,"South Australia",2020,"WGS84","Australia"
