ref,PDF_id,article_type,authors,article_title,source_title,pub_year,doi,lead_author_institution_type,lead_author_affiliation,study_country,study_region,koaro,inanga, giant_kokopu,shortjaw_kokopu,banded_kokopu,spotted_galaxias,spatial_extent,spatial_extent_km,temporal,period_yrs,preiod_frq,survey,model,experiment,ex_field,ex_lab,review,review_method,method_other,diet,predation,competition,metabolism,disease,parasites,behaviour,movement ,migration,morphology,evolution,spawning,riparain,growth,genetics,eggs,larvae,juveniles,adults,demographics,sex_ratio,fecundity,mortality,age_size_structure,abundance_density,physiochemical_habitat,landuse,aquaculture,harvesting,method_development,conservation,restoration,invasive species,climate_change,stream,lake,ocean,landlocked,notes
228,309,J,Glova GJ. Sagar PM.,Dietary and Spatial Overlap Between Stream Populations of a Native and Two Introduced Fish Species in New Zealand,Marine and Freshwater Research,1991,10.1071/MF9910423,govt,MAF,NZ,Canterbury,y,n,n,n,n,n,reach,na,y,0.002777778,5,y,n,n,n,n,n,na,na,y,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,y,n,n,n,n,n,n,y,n,y,n,n,n,
236,317,J,Glova GJ. Sagar PM.,"Feeding in a Nocturnally Active Fish, Galaxias Brevipinnis, in a New Zealand Stream",Marine and Freshwater Research,1989,10.1071/MF9890231,govt,MAF,NZ,Canterbury,y,n,n,n,n,n,reach,2,n,0.002777778,5,y,n,n,n,n,n,na,na,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,
288,382,J,Davies PE. White RW.,"The toxicology and metabolism of chlorothalonil in fish. I. Lethal levels for Salmo gairdneri, Galaxias maculatus, G. truttaceus and G. auratus and the fate of 14C-TCIN in S. gairdneri",Aquatic Toxicology,1985,10.1016/0166-445X(85)90038-4,tertiary,University of Tasmania,Australia,Tasmania,n,n,n,n,n,y,reach,na,y,0.01,3,n,n,y,n,y,n,na,toxocology,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,
287,381,J,Davies PE.,"The toxicology and metabolism of chlorothalonil in fish. III. Metabolism, enzymatics and detoxication in Salmo spp. and Galaxias spp.",Aquatic Toxicology,1985,10.1016/0166-445X(85)90045-1,tertiary,University of Tasmania,Australia,Tasmania,n,n,n,n,n,y,reach,na,y,0.01,3,n,n,y,n,y,n,na,toxocology,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,
139,207,J,Suren AM. Lambert P.,Do Toxic Baits Containing Sodium Fluroacetate (1080) Affect Fish and Invertebrate Communities when They Fall into Streams?,New Zealand Journal of Marine and Freshwater Research,2006,10.1080/00288330.2006.9517443,CRI,NIWA,NZ,West Coast,y,n,n,n,n,n,basin,3,y,0.011904762,7,n,n,y,y,n,n,na,toxocology,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,
123,188,J,Rowe DK. Smith JP. Baker C.,Agonistic Interactions Between Gambusia Affinis and Galaxias Maculatus: Implications for Whitebait Fisheries in New Zealand Rivers,Journal of Applied Ichthyology,2007,10.1111/j.1439-0426.2007.00912.x,CRI,NIWA,NZ,Waikato,n,y,n,n,n,n,lab,na,y,0.041666667,15,n,n,y,n,y,n,na,interaction,n,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,y,y,y,n,n,y,n,n,n,n,n,n,n,n,n,y,n,y,n,n,n,
92,139,J,Semmens D. Swearer SE.,"Extended Incubation Affects Larval Morphology, Hatching Success and Starvation Resistance in a Terrestrially Spawning Fish, Galaxias Maculatus (Jenyns 1842)",Journal of Fish Biology,2011,10.1111/j.1095-8649.2011.03074.x,tertiary,UoM,Australia,Victoria,n,y,n,n,n,n,lab,na,y,0.041666667,y,n,n,y,n,y,n,na,hatching,n,n,n,n,n,n,n,n,n,y,n,y,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,extended incubation (e.g. due to changing flow regime meaning longer time out of water) affects survival and growth - climate change implications
252,335,J,Ots JP. Eldon GA.,Downstream Movement of Fry of Galaxias Fasciatus Gray (Note),New Zealand Journal of Marine and Freshwater Research,1975,10.1080/00288330.1975.9515549,govt,MAF,NZ,Wellington,n,n,n,n,y,n,lab,400,y,0.08333333,na,y,n,y,n,y,n,na,na,n,n,n,n,n,n,n,y,y,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,y,
62,101,J,Boy CC. Vanella FA. Lattuca ME. Ceballos S. Aureliano DR. Rimbau S. Gutierrez M. Fernandez DA.,"Effect of Starvation on Growth Rate, Muscle Growth and Energy Density of Puyen, Galaxias Maculatus",Journal of Applied Ichthyology,2013,10.1111/jai.12147,govt,Centro Austral de Investigaciones CientÌficas,Argentina,Patagonia,n,y,n,n,n,n,lab,na,y,0.083333333,2,n,n,y,n,y,n,na,feeding,y,n,n,y,n,n,n,n,n,y,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,
103,161,J,Hale R. Swearer SE. Downes BJ.,Is Settlement at Small Spatial Scales by Diadromous Fishes from the Family Galaxiidae Passive or Active in a Small Coastal River?,Marine and Freshwater Research,2009,10.1071/MF08342,tertiary,UoM,Australia,Victoria,y,y,n,n,n,n,reach,na,y,0.083333333,30,y,n,n,n,n,n,na,na,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,y,n,n,n,
